"module name","licenses","repository","licenseUrl","parents"
"abab@1.0.4","ISC","https://github.com/jsdom/abab","https://github.com/jsdom/abab/raw/master/LICENSE.md","twake"
"abbrev@1.1.0","ISC","https://github.com/isaacs/abbrev-js","https://github.com/isaacs/abbrev-js/raw/master/LICENSE","fsevents:chokidar:twake"
"abbrev@1.1.1","ISC","http://github.com/isaacs/abbrev-js","http://github.com/isaacs/abbrev-js/raw/master/LICENSE","twake"
"accepts@1.3.4","MIT","https://github.com/jshttp/accepts","https://github.com/jshttp/accepts/raw/master/LICENSE","twake"
"acorn-dynamic-import@2.0.2","MIT","https://github.com/kesne/acorn-dynamic-import","https://github.com/kesne/acorn-dynamic-import/raw/master/LICENSE","twake"
"acorn-globals@3.1.0","MIT","https://github.com/ForbesLindesay/acorn-globals","https://github.com/ForbesLindesay/acorn-globals/raw/master/LICENSE","twake"
"acorn-jsx@3.0.1","MIT","https://github.com/RReverser/acorn-jsx","https://github.com/RReverser/acorn-jsx/raw/master/LICENSE","twake"
"acorn@3.3.0","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","acorn-jsx:twake"
"acorn@4.0.13","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","twake"
"acorn@5.2.1","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","espree:twake"
"address@1.0.3","MIT","https://github.com/node-modules/address","https://github.com/node-modules/address/raw/master/LICENSE.txt","twake"
"ajv-keywords@2.1.1","MIT","https://github.com/epoberezkin/ajv-keywords","https://github.com/epoberezkin/ajv-keywords/raw/master/LICENSE","twake"
"ajv-keywords@3.1.0","MIT","https://github.com/epoberezkin/ajv-keywords","https://github.com/epoberezkin/ajv-keywords/raw/master/LICENSE","worker-loader:twake"
"ajv@4.11.8","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","fsevents:chokidar:twake"
"ajv@5.3.0","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","twake"
"ajv@6.4.0","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","worker-loader:twake"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","twake"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort","https://github.com/TrySound/alphanum-sort/raw/master/LICENSE","twake"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine","https://github.com/jrburke/amdefine/raw/master/LICENSE","twake"
"anchorme@1.1.2","MIT","https://github.com/alexcorvi/anchorme.js","https://github.com/alexcorvi/anchorme.js/raw/master/LICENSE.md","twake"
"ansi-align@1.1.0","ISC","https://github.com/nexdrew/ansi-align","https://github.com/nexdrew/ansi-align/raw/master/LICENSE","twake"
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align","https://github.com/nexdrew/ansi-align/raw/master/LICENSE","nodemon:twake"
"ansi-escapes@1.4.0","MIT","https://github.com/sindresorhus/ansi-escapes","https://github.com/sindresorhus/ansi-escapes/raw/master/license","twake"
"ansi-escapes@3.0.0","MIT","https://github.com/sindresorhus/ansi-escapes","https://github.com/sindresorhus/ansi-escapes/raw/master/license","inquirer:twake"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html","https://github.com/Tjatse/ansi-html/raw/master/LICENSE","twake"
"ansi-regex@0.2.1","MIT","https://github.com/sindresorhus/ansi-regex","https://github.com/sindresorhus/ansi-regex","concurrently:twake"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","twake"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","nodemon:twake"
"ansi-styles@1.1.0","MIT","https://github.com/sindresorhus/ansi-styles","https://github.com/sindresorhus/ansi-styles","concurrently:twake"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","chalk:twake"
